Kinase,Source Protein,Target Protein,Interaction Score
AURKA,9606.ENSP00000216911,9606.ENSP00000288207,0.988
AURKA,9606.ENSP00000216911,9606.ENSP00000368759,0.99
AURKA,9606.ENSP00000216911,9606.ENSP00000301633,0.993
AURKA,9606.ENSP00000216911,9606.ENSP00000378295,0.994
AURKA,9606.ENSP00000216911,9606.ENSP00000361540,0.995
AURKA,9606.ENSP00000216911,9606.ENSP00000300093,0.997
AURKA,9606.ENSP00000216911,9606.ENSP00000326550,0.998
AURKA,9606.ENSP00000216911,9606.ENSP00000281043,0.998
AURKA,9606.ENSP00000216911,9606.ENSP00000269305,0.998
AURKA,9606.ENSP00000216911,9606.ENSP00000300403,0.999
AURKA,9606.ENSP00000269305,9606.ENSP00000281043,0.852
AURKA,9606.ENSP00000269305,9606.ENSP00000300403,0.903
AURKA,9606.ENSP00000269305,9606.ENSP00000301633,0.93
AURKA,9606.ENSP00000269305,9606.ENSP00000300093,0.981
AURKA,9606.ENSP00000288207,9606.ENSP00000300403,0.953
AURKA,9606.ENSP00000288207,9606.ENSP00000301633,0.993
AURKA,9606.ENSP00000288207,9606.ENSP00000300093,0.995
AURKA,9606.ENSP00000288207,9606.ENSP00000361540,0.999
AURKA,9606.ENSP00000300093,9606.ENSP00000326550,0.884
AURKA,9606.ENSP00000300093,9606.ENSP00000300403,0.944
AURKA,9606.ENSP00000300093,9606.ENSP00000378295,0.978
AURKA,9606.ENSP00000300093,9606.ENSP00000301633,0.98
AURKA,9606.ENSP00000300093,9606.ENSP00000361540,0.999
AURKA,9606.ENSP00000300403,9606.ENSP00000326550,0.786
AURKA,9606.ENSP00000300403,9606.ENSP00000301633,0.952
AURKA,9606.ENSP00000300403,9606.ENSP00000361540,0.961
AURKA,9606.ENSP00000301633,9606.ENSP00000326550,0.725
AURKA,9606.ENSP00000301633,9606.ENSP00000361540,0.995
AURKA,9606.ENSP00000301633,9606.ENSP00000378295,0.999
AURKA,9606.ENSP00000326550,9606.ENSP00000378295,0.742
AURKA,9606.ENSP00000326550,9606.ENSP00000361540,0.842
AURKA,9606.ENSP00000361540,9606.ENSP00000378295,0.964
PAK1,9606.ENSP00000233154,9606.ENSP00000495631,0.86
PAK1,9606.ENSP00000233154,9606.ENSP00000249071,0.915
PAK1,9606.ENSP00000233154,9606.ENSP00000304283,0.919
PAK1,9606.ENSP00000233154,9606.ENSP00000417273,0.979
PAK1,9606.ENSP00000233154,9606.ENSP00000278568,0.991
PAK1,9606.ENSP00000249071,9606.ENSP00000348461,0.823
PAK1,9606.ENSP00000249071,9606.ENSP00000451828,0.864
PAK1,9606.ENSP00000249071,9606.ENSP00000497733,0.943
PAK1,9606.ENSP00000249071,9606.ENSP00000495631,0.947
PAK1,9606.ENSP00000249071,9606.ENSP00000250617,0.966
PAK1,9606.ENSP00000249071,9606.ENSP00000278568,0.967
PAK1,9606.ENSP00000249071,9606.ENSP00000304283,0.976
PAK1,9606.ENSP00000250617,9606.ENSP00000348461,0.818
PAK1,9606.ENSP00000250617,9606.ENSP00000304283,0.927
PAK1,9606.ENSP00000250617,9606.ENSP00000417273,0.93
PAK1,9606.ENSP00000250617,9606.ENSP00000497733,0.985
PAK1,9606.ENSP00000250617,9606.ENSP00000495631,0.99
PAK1,9606.ENSP00000250617,9606.ENSP00000278568,0.995
PAK1,9606.ENSP00000278568,9606.ENSP00000336740,0.967
PAK1,9606.ENSP00000278568,9606.ENSP00000451828,0.994
PAK1,9606.ENSP00000278568,9606.ENSP00000495631,0.995
PAK1,9606.ENSP00000278568,9606.ENSP00000304283,0.996
PAK1,9606.ENSP00000278568,9606.ENSP00000417273,0.998
PAK1,9606.ENSP00000278568,9606.ENSP00000497733,0.999
PAK1,9606.ENSP00000278568,9606.ENSP00000348461,0.999
PAK1,9606.ENSP00000304283,9606.ENSP00000348461,0.918
PAK1,9606.ENSP00000304283,9606.ENSP00000495631,0.927
PAK1,9606.ENSP00000304283,9606.ENSP00000497733,0.932
PAK1,9606.ENSP00000336740,9606.ENSP00000348461,0.732
PAK1,9606.ENSP00000336740,9606.ENSP00000497733,0.868
PAK1,9606.ENSP00000348461,9606.ENSP00000417273,0.735
PAK1,9606.ENSP00000348461,9606.ENSP00000451828,0.865
PAK1,9606.ENSP00000348461,9606.ENSP00000497733,0.872
PAK1,9606.ENSP00000348461,9606.ENSP00000495631,0.957
PAK1,9606.ENSP00000417273,9606.ENSP00000451828,0.703
PAK1,9606.ENSP00000417273,9606.ENSP00000497733,0.973
PAK1,9606.ENSP00000451828,9606.ENSP00000495631,0.808
PAK1,9606.ENSP00000451828,9606.ENSP00000497733,0.999
PAK1,9606.ENSP00000495631,9606.ENSP00000497733,0.999
PDGFRB,9606.ENSP00000244007,9606.ENSP00000489597,0.748
PDGFRB,9606.ENSP00000244007,9606.ENSP00000362680,0.936
PDGFRB,9606.ENSP00000244007,9606.ENSP00000428056,0.967
PDGFRB,9606.ENSP00000244007,9606.ENSP00000275493,0.997
PDGFRB,9606.ENSP00000244007,9606.ENSP00000261799,0.999
PDGFRB,9606.ENSP00000244007,9606.ENSP00000376345,0.999
PDGFRB,9606.ENSP00000261799,9606.ENSP00000275493,0.998
PDGFRB,9606.ENSP00000261799,9606.ENSP00000346508,0.999
PDGFRB,9606.ENSP00000261799,9606.ENSP00000489597,0.999
PDGFRB,9606.ENSP00000261799,9606.ENSP00000330382,0.999
PDGFRB,9606.ENSP00000261799,9606.ENSP00000428056,0.999
PDGFRB,9606.ENSP00000261799,9606.ENSP00000376865,0.999
PDGFRB,9606.ENSP00000261799,9606.ENSP00000376345,0.999
PDGFRB,9606.ENSP00000261799,9606.ENSP00000362680,0.999
PDGFRB,9606.ENSP00000261799,9606.ENSP00000422464,0.999
PDGFRB,9606.ENSP00000275493,9606.ENSP00000376865,0.932
PDGFRB,9606.ENSP00000275493,9606.ENSP00000422464,0.961
PDGFRB,9606.ENSP00000275493,9606.ENSP00000346508,0.964
PDGFRB,9606.ENSP00000275493,9606.ENSP00000330382,0.968
PDGFRB,9606.ENSP00000275493,9606.ENSP00000428056,0.998
PDGFRB,9606.ENSP00000275493,9606.ENSP00000489597,0.999
PDGFRB,9606.ENSP00000275493,9606.ENSP00000376345,0.999
PDGFRB,9606.ENSP00000275493,9606.ENSP00000362680,0.999
PDGFRB,9606.ENSP00000330382,9606.ENSP00000376865,0.99
PDGFRB,9606.ENSP00000330382,9606.ENSP00000422464,0.996
PDGFRB,9606.ENSP00000330382,9606.ENSP00000346508,0.998
PDGFRB,9606.ENSP00000346508,9606.ENSP00000376865,0.991
PDGFRB,9606.ENSP00000346508,9606.ENSP00000422464,0.995
PDGFRB,9606.ENSP00000362680,9606.ENSP00000489597,0.998
PDGFRB,9606.ENSP00000362680,9606.ENSP00000428056,0.998
PDGFRB,9606.ENSP00000362680,9606.ENSP00000376345,0.999
PDGFRB,9606.ENSP00000376345,9606.ENSP00000428056,0.998
PDGFRB,9606.ENSP00000376345,9606.ENSP00000489597,0.999
PDGFRB,9606.ENSP00000376865,9606.ENSP00000422464,0.985
PDGFRB,9606.ENSP00000428056,9606.ENSP00000489597,0.996
LYN,9606.ENSP00000221972,9606.ENSP00000472929,0.753
LYN,9606.ENSP00000221972,9606.ENSP00000346671,0.932
LYN,9606.ENSP00000221972,9606.ENSP00000483570,0.955
LYN,9606.ENSP00000221972,9606.ENSP00000364898,0.996
LYN,9606.ENSP00000221972,9606.ENSP00000224337,0.998
LYN,9606.ENSP00000221972,9606.ENSP00000313419,0.998
LYN,9606.ENSP00000221972,9606.ENSP00000376544,0.999
LYN,9606.ENSP00000221972,9606.ENSP00000428924,0.999
LYN,9606.ENSP00000224337,9606.ENSP00000346671,0.807
LYN,9606.ENSP00000224337,9606.ENSP00000313419,0.932
LYN,9606.ENSP00000224337,9606.ENSP00000376544,0.961
LYN,9606.ENSP00000224337,9606.ENSP00000428924,0.999
LYN,9606.ENSP00000224337,9606.ENSP00000472929,0.999
LYN,9606.ENSP00000224337,9606.ENSP00000483570,0.999
LYN,9606.ENSP00000224337,9606.ENSP00000364898,0.999
LYN,9606.ENSP00000308782,9606.ENSP00000472929,0.74
LYN,9606.ENSP00000308782,9606.ENSP00000364898,0.872
LYN,9606.ENSP00000308782,9606.ENSP00000346671,0.996
LYN,9606.ENSP00000308782,9606.ENSP00000428924,0.997
LYN,9606.ENSP00000313419,9606.ENSP00000483570,0.887
LYN,9606.ENSP00000313419,9606.ENSP00000364898,0.983
LYN,9606.ENSP00000313419,9606.ENSP00000376544,0.991
LYN,9606.ENSP00000313419,9606.ENSP00000472929,0.997
LYN,9606.ENSP00000313419,9606.ENSP00000428924,0.999
LYN,9606.ENSP00000346671,9606.ENSP00000376544,0.837
LYN,9606.ENSP00000346671,9606.ENSP00000483570,0.876
LYN,9606.ENSP00000346671,9606.ENSP00000472929,0.959
LYN,9606.ENSP00000346671,9606.ENSP00000364898,0.983
LYN,9606.ENSP00000346671,9606.ENSP00000401303,0.995
LYN,9606.ENSP00000346671,9606.ENSP00000428924,0.996
LYN,9606.ENSP00000364898,9606.ENSP00000401303,0.957
LYN,9606.ENSP00000364898,9606.ENSP00000376544,0.997
LYN,9606.ENSP00000364898,9606.ENSP00000472929,0.999
LYN,9606.ENSP00000364898,9606.ENSP00000428924,0.999
LYN,9606.ENSP00000364898,9606.ENSP00000483570,0.999
LYN,9606.ENSP00000376544,9606.ENSP00000472929,0.704
LYN,9606.ENSP00000376544,9606.ENSP00000483570,0.965
LYN,9606.ENSP00000376544,9606.ENSP00000428924,0.997
LYN,9606.ENSP00000401303,9606.ENSP00000483570,0.759
LYN,9606.ENSP00000401303,9606.ENSP00000472929,0.84
LYN,9606.ENSP00000401303,9606.ENSP00000428924,0.991
LYN,9606.ENSP00000428924,9606.ENSP00000472929,0.993
LYN,9606.ENSP00000428924,9606.ENSP00000483570,0.997
LYN,9606.ENSP00000472929,9606.ENSP00000483570,0.996
EGFR,9606.ENSP00000052754,9606.ENSP00000267101,0.913
EGFR,9606.ENSP00000052754,9606.ENSP00000265171,0.917
EGFR,9606.ENSP00000052754,9606.ENSP00000269571,0.958
EGFR,9606.ENSP00000052754,9606.ENSP00000275493,0.999
EGFR,9606.ENSP00000230990,9606.ENSP00000269571,0.944
EGFR,9606.ENSP00000230990,9606.ENSP00000244869,0.959
EGFR,9606.ENSP00000230990,9606.ENSP00000267101,0.991
EGFR,9606.ENSP00000230990,9606.ENSP00000265171,0.992
EGFR,9606.ENSP00000230990,9606.ENSP00000275493,0.999
EGFR,9606.ENSP00000244869,9606.ENSP00000269571,0.86
EGFR,9606.ENSP00000244869,9606.ENSP00000265171,0.958
EGFR,9606.ENSP00000244869,9606.ENSP00000267101,0.982
EGFR,9606.ENSP00000244869,9606.ENSP00000275493,0.999
EGFR,9606.ENSP00000261769,9606.ENSP00000265171,0.852
EGFR,9606.ENSP00000261769,9606.ENSP00000267101,0.856
EGFR,9606.ENSP00000261769,9606.ENSP00000269571,0.97
EGFR,9606.ENSP00000261769,9606.ENSP00000275493,0.999
EGFR,9606.ENSP00000262995,9606.ENSP00000265171,0.826
EGFR,9606.ENSP00000262995,9606.ENSP00000263967,0.92
EGFR,9606.ENSP00000262995,9606.ENSP00000267101,0.932
EGFR,9606.ENSP00000262995,9606.ENSP00000269571,0.948
EGFR,9606.ENSP00000262995,9606.ENSP00000275493,0.999
EGFR,9606.ENSP00000263967,9606.ENSP00000265171,0.746
EGFR,9606.ENSP00000263967,9606.ENSP00000264033,0.887
EGFR,9606.ENSP00000263967,9606.ENSP00000269571,0.992
EGFR,9606.ENSP00000263967,9606.ENSP00000267101,0.993
EGFR,9606.ENSP00000263967,9606.ENSP00000275493,0.999
EGFR,9606.ENSP00000264033,9606.ENSP00000267101,0.732
EGFR,9606.ENSP00000264033,9606.ENSP00000265171,0.859
EGFR,9606.ENSP00000264033,9606.ENSP00000269571,0.944
EGFR,9606.ENSP00000264033,9606.ENSP00000275493,0.999
EGFR,9606.ENSP00000265171,9606.ENSP00000269571,0.999
EGFR,9606.ENSP00000265171,9606.ENSP00000275493,0.999
EGFR,9606.ENSP00000265171,9606.ENSP00000267101,0.999
EGFR,9606.ENSP00000267101,9606.ENSP00000275493,0.999
EGFR,9606.ENSP00000267101,9606.ENSP00000269571,0.999
EGFR,9606.ENSP00000269571,9606.ENSP00000275493,0.999
AKT1,9606.ENSP00000258149,9606.ENSP00000360609,0.753
AKT1,9606.ENSP00000258149,9606.ENSP00000368880,0.774
AKT1,9606.ENSP00000258149,9606.ENSP00000335153,0.909
AKT1,9606.ENSP00000258149,9606.ENSP00000339527,0.995
AKT1,9606.ENSP00000258149,9606.ENSP00000451828,0.999
AKT1,9606.ENSP00000262719,9606.ENSP00000451828,0.999
AKT1,9606.ENSP00000263967,9606.ENSP00000368880,0.726
AKT1,9606.ENSP00000263967,9606.ENSP00000335153,0.837
AKT1,9606.ENSP00000263967,9606.ENSP00000354558,0.963
AKT1,9606.ENSP00000263967,9606.ENSP00000344220,0.976
AKT1,9606.ENSP00000263967,9606.ENSP00000497733,0.982
AKT1,9606.ENSP00000263967,9606.ENSP00000451828,0.998
AKT1,9606.ENSP00000335153,9606.ENSP00000344220,0.845
AKT1,9606.ENSP00000335153,9606.ENSP00000360609,0.997
AKT1,9606.ENSP00000335153,9606.ENSP00000354558,0.998
AKT1,9606.ENSP00000335153,9606.ENSP00000451828,0.999
AKT1,9606.ENSP00000339527,9606.ENSP00000354558,0.747
AKT1,9606.ENSP00000339527,9606.ENSP00000368880,0.955
AKT1,9606.ENSP00000339527,9606.ENSP00000451828,0.998
AKT1,9606.ENSP00000344220,9606.ENSP00000368880,0.702
AKT1,9606.ENSP00000344220,9606.ENSP00000354558,0.848
AKT1,9606.ENSP00000344220,9606.ENSP00000451828,0.999
AKT1,9606.ENSP00000354558,9606.ENSP00000368880,0.758
AKT1,9606.ENSP00000354558,9606.ENSP00000360609,0.998
AKT1,9606.ENSP00000354558,9606.ENSP00000451828,0.999
AKT1,9606.ENSP00000360609,9606.ENSP00000451828,0.999
AKT1,9606.ENSP00000368880,9606.ENSP00000451828,0.999
AKT1,9606.ENSP00000451828,9606.ENSP00000497733,0.999
TGFBR1,9606.ENSP00000221930,9606.ENSP00000340361,0.742
TGFBR1,9606.ENSP00000221930,9606.ENSP00000262435,0.828
TGFBR1,9606.ENSP00000221930,9606.ENSP00000262160,0.983
TGFBR1,9606.ENSP00000221930,9606.ENSP00000238682,0.988
TGFBR1,9606.ENSP00000221930,9606.ENSP00000262158,0.989
TGFBR1,9606.ENSP00000221930,9606.ENSP00000332973,0.99
TGFBR1,9606.ENSP00000221930,9606.ENSP00000447297,0.999
TGFBR1,9606.ENSP00000221930,9606.ENSP00000351905,0.999
TGFBR1,9606.ENSP00000238682,9606.ENSP00000262158,0.783
TGFBR1,9606.ENSP00000238682,9606.ENSP00000332973,0.865
TGFBR1,9606.ENSP00000238682,9606.ENSP00000262160,0.865
TGFBR1,9606.ENSP00000238682,9606.ENSP00000447297,0.999
TGFBR1,9606.ENSP00000238682,9606.ENSP00000351905,0.999
TGFBR1,9606.ENSP00000257868,9606.ENSP00000340361,0.999
TGFBR1,9606.ENSP00000257868,9606.ENSP00000447297,0.999
TGFBR1,9606.ENSP00000260950,9606.ENSP00000351905,0.847
TGFBR1,9606.ENSP00000260950,9606.ENSP00000332973,0.863
TGFBR1,9606.ENSP00000260950,9606.ENSP00000262160,0.915
TGFBR1,9606.ENSP00000260950,9606.ENSP00000447297,0.999
TGFBR1,9606.ENSP00000260950,9606.ENSP00000340361,0.999
TGFBR1,9606.ENSP00000262158,9606.ENSP00000340361,0.829
TGFBR1,9606.ENSP00000262158,9606.ENSP00000332973,0.976
TGFBR1,9606.ENSP00000262158,9606.ENSP00000262160,0.983
TGFBR1,9606.ENSP00000262158,9606.ENSP00000351905,0.994
TGFBR1,9606.ENSP00000262158,9606.ENSP00000262435,0.999
TGFBR1,9606.ENSP00000262158,9606.ENSP00000447297,0.999
TGFBR1,9606.ENSP00000262160,9606.ENSP00000340361,0.983
TGFBR1,9606.ENSP00000262160,9606.ENSP00000351905,0.998
TGFBR1,9606.ENSP00000262160,9606.ENSP00000332973,0.999
TGFBR1,9606.ENSP00000262160,9606.ENSP00000447297,0.999
TGFBR1,9606.ENSP00000262160,9606.ENSP00000262435,0.999
TGFBR1,9606.ENSP00000262435,9606.ENSP00000351905,0.981
TGFBR1,9606.ENSP00000262435,9606.ENSP00000332973,0.997
TGFBR1,9606.ENSP00000262435,9606.ENSP00000447297,0.999
TGFBR1,9606.ENSP00000332973,9606.ENSP00000340361,0.968
TGFBR1,9606.ENSP00000332973,9606.ENSP00000351905,0.998
TGFBR1,9606.ENSP00000332973,9606.ENSP00000447297,0.999
TGFBR1,9606.ENSP00000340361,9606.ENSP00000351905,0.831
TGFBR1,9606.ENSP00000340361,9606.ENSP00000447297,0.999
TGFBR1,9606.ENSP00000351905,9606.ENSP00000447297,0.999
DYRK1,9606.ENSP00000239906,9606.ENSP00000483236,0.778
DYRK1,9606.ENSP00000239906,9606.ENSP00000340373,0.9
DYRK1,9606.ENSP00000281928,9606.ENSP00000340373,0.82
DYRK1,9606.ENSP00000299563,9606.ENSP00000483236,0.797
DYRK1,9606.ENSP00000299563,9606.ENSP00000340373,0.932
DYRK1,9606.ENSP00000340373,9606.ENSP00000389377,0.819
DYRK1,9606.ENSP00000340373,9606.ENSP00000498603,0.842
DYRK1,9606.ENSP00000340373,9606.ENSP00000370527,0.881
DYRK1,9606.ENSP00000340373,9606.ENSP00000376071,0.882
DYRK1,9606.ENSP00000340373,9606.ENSP00000451812,0.903
DYRK1,9606.ENSP00000340373,9606.ENSP00000386520,0.925
DYRK1,9606.ENSP00000340373,9606.ENSP00000483236,0.997
DYRK1,9606.ENSP00000370527,9606.ENSP00000389377,0.79
DYRK1,9606.ENSP00000376071,9606.ENSP00000483236,0.779
DYRK1,9606.ENSP00000386520,9606.ENSP00000483236,0.792
MTOR,9606.ENSP00000225577,9606.ENSP00000265960,0.883
MTOR,9606.ENSP00000225577,9606.ENSP00000262850,0.913
MTOR,9606.ENSP00000225577,9606.ENSP00000262187,0.968
MTOR,9606.ENSP00000225577,9606.ENSP00000340691,0.972
MTOR,9606.ENSP00000225577,9606.ENSP00000296782,0.981
MTOR,9606.ENSP00000225577,9606.ENSP00000286234,0.991
MTOR,9606.ENSP00000225577,9606.ENSP00000307272,0.999
MTOR,9606.ENSP00000225577,9606.ENSP00000354558,0.999
MTOR,9606.ENSP00000262187,9606.ENSP00000265960,0.763
MTOR,9606.ENSP00000262187,9606.ENSP00000324560,0.83
MTOR,9606.ENSP00000262187,9606.ENSP00000296782,0.886
MTOR,9606.ENSP00000262187,9606.ENSP00000262850,0.969
MTOR,9606.ENSP00000262187,9606.ENSP00000340691,0.979
MTOR,9606.ENSP00000262187,9606.ENSP00000286234,0.988
MTOR,9606.ENSP00000262187,9606.ENSP00000307272,0.999
MTOR,9606.ENSP00000262187,9606.ENSP00000354558,0.999
MTOR,9606.ENSP00000262319,9606.ENSP00000265960,0.825
MTOR,9606.ENSP00000262319,9606.ENSP00000286234,0.946
MTOR,9606.ENSP00000262319,9606.ENSP00000296782,0.984
MTOR,9606.ENSP00000262319,9606.ENSP00000307272,0.991
MTOR,9606.ENSP00000262319,9606.ENSP00000354558,0.999
MTOR,9606.ENSP00000262850,9606.ENSP00000296782,0.705
MTOR,9606.ENSP00000262850,9606.ENSP00000340691,0.781
MTOR,9606.ENSP00000262850,9606.ENSP00000286234,0.82
MTOR,9606.ENSP00000262850,9606.ENSP00000307272,0.999
MTOR,9606.ENSP00000262850,9606.ENSP00000354558,0.999
MTOR,9606.ENSP00000265960,9606.ENSP00000340691,0.753
MTOR,9606.ENSP00000265960,9606.ENSP00000307272,0.996
MTOR,9606.ENSP00000265960,9606.ENSP00000286234,0.999
MTOR,9606.ENSP00000265960,9606.ENSP00000296782,0.999
MTOR,9606.ENSP00000265960,9606.ENSP00000354558,0.999
MTOR,9606.ENSP00000286234,9606.ENSP00000324560,0.951
MTOR,9606.ENSP00000286234,9606.ENSP00000307272,0.999
MTOR,9606.ENSP00000286234,9606.ENSP00000354558,0.999
MTOR,9606.ENSP00000286234,9606.ENSP00000296782,0.999
MTOR,9606.ENSP00000296782,9606.ENSP00000340691,0.884
MTOR,9606.ENSP00000296782,9606.ENSP00000354558,0.999
MTOR,9606.ENSP00000296782,9606.ENSP00000307272,0.999
MTOR,9606.ENSP00000307272,9606.ENSP00000324560,0.996
MTOR,9606.ENSP00000307272,9606.ENSP00000354558,0.999
MTOR,9606.ENSP00000307272,9606.ENSP00000340691,0.999
MTOR,9606.ENSP00000324560,9606.ENSP00000354558,0.999
MTOR,9606.ENSP00000340691,9606.ENSP00000354558,0.999
CDK1,9606.ENSP00000255465,9606.ENSP00000288207,0.739
CDK1,9606.ENSP00000255465,9606.ENSP00000287598,0.84
CDK1,9606.ENSP00000255465,9606.ENSP00000364976,0.845
CDK1,9606.ENSP00000255465,9606.ENSP00000256442,0.847
CDK1,9606.ENSP00000255465,9606.ENSP00000321656,0.878
CDK1,9606.ENSP00000255465,9606.ENSP00000311083,0.947
CDK1,9606.ENSP00000255465,9606.ENSP00000383611,0.95
